x,background,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
background,1078432,549,598,988,584,634,392,2149,866,2059,558,366,1135,741,552,8394,997,433,714,613,556
aeroplane,631,3690,1,14,6,0,1,35,0,1,0,0,0,3,0,0,0,0,0,3,0
bike,796,3,3883,0,0,0,0,0,0,16,0,0,1,0,12,160,2,0,0,0,0
bird,1263,5,0,6463,0,0,0,9,4,10,26,0,7,3,0,37,1,13,1,0,0
boat,1048,11,0,0,2976,0,0,29,0,6,0,0,0,0,0,0,3,0,0,1,0
bottle,967,0,0,0,0,3139,0,4,0,6,0,0,0,0,2,15,0,0,0,0,0
bus,560,0,2,0,2,0,2951,67,0,0,0,0,0,0,1,16,1,0,0,10,2
car,2738,2,1,0,2,0,23,15663,0,3,3,1,0,4,32,66,0,3,2,3,10
cat,959,0,0,3,0,0,0,0,5465,2,0,0,66,6,0,7,0,13,7,0,0
chair,4291,6,1,6,0,3,0,0,18,8698,0,105,38,0,0,337,21,0,279,0,3
cow,756,0,0,3,0,0,0,0,0,0,3703,0,25,45,0,11,0,95,0,0,0
table,892,0,0,0,0,0,0,1,3,258,0,1596,0,0,1,17,3,0,21,0,0
dog,1281,0,0,6,0,0,0,0,60,11,23,0,7905,26,0,114,0,0,22,0,0
horse,784,0,0,2,0,0,0,2,0,2,48,0,21,5851,0,161,0,12,0,0,0
moto,803,0,32,0,0,0,0,33,0,2,7,0,3,0,4014,190,2,0,0,2,0
person,9133,5,153,33,5,8,1,24,29,143,24,11,134,89,165,48369,1,1,188,0,12
plant,1657,0,0,0,2,0,0,0,0,6,0,0,0,0,0,32,4342,0,0,0,2
shep,641,0,0,32,0,0,0,0,4,0,75,0,9,14,0,9,0,2554,0,0,0
sofa,1467,0,2,0,1,0,0,0,39,264,2,15,89,0,2,543,4,1,3299,0,11
train,781,3,0,0,10,0,17,9,0,0,0,0,0,0,7,0,0,0,0,4229,0
tv,807,0,0,0,0,0,1,0,10,17,0,1,1,0,0,13,0,0,9,0,4287
