x,background,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
background,1972236,912,854,1315,951,951,797,2590,960,2287,832,377,1144,1100,895,9134,1329,759,795,1049,922
aeroplane,913,9378,0,0,24,0,2,27,0,3,0,0,0,4,0,2,0,4,2,8,3
bike,848,0,9046,5,2,0,0,2,0,3,41,0,2,3,94,177,1,0,0,6,0
bird,1298,20,5,12383,2,4,1,9,6,2,7,0,23,7,11,32,6,36,0,0,0
boat,1041,23,2,1,9223,2,14,24,0,16,0,0,0,2,0,11,4,0,0,17,4
bottle,1004,0,0,6,1,8848,18,3,0,12,1,0,0,0,49,37,17,21,0,18,3
bus,776,9,0,0,2,8,8781,122,0,0,11,0,0,0,19,27,2,0,0,140,14
car,2462,10,4,2,17,12,55,22500,0,13,6,0,4,8,53,60,0,7,5,15,8
cat,1135,0,0,16,0,0,0,2,5447,4,13,0,80,6,0,27,1,36,3,0,0
chair,3244,11,0,7,1,5,0,5,47,16241,1,84,43,2,0,416,13,11,258,0,9
cow,815,0,24,10,1,0,7,5,10,0,9015,0,60,149,14,16,4,256,0,46,9
table,837,0,1,0,0,0,0,0,10,255,0,1747,0,0,1,21,3,0,28,0,0
dog,1336,0,0,40,0,0,0,0,111,1,27,0,8057,62,0,176,1,25,56,0,0
horse,950,3,8,7,0,0,1,6,8,1,129,0,67,11343,2,215,1,5,2,0,0
moto,907,0,103,18,3,28,23,59,0,0,34,0,3,3,9268,242,19,0,0,32,0
person,8699,1,165,18,2,15,4,39,28,128,6,13,119,137,210,55830,9,3,217,0,10
plant,1558,0,8,2,0,20,0,0,1,4,2,1,0,0,12,9,9932,0,1,1,0
shep,767,0,0,30,0,10,3,8,18,1,258,0,60,5,2,14,0,8374,5,28,0
sofa,1397,0,0,0,0,0,0,0,41,215,0,11,86,1,0,449,4,3,3967,3,4
train,1049,14,0,0,12,9,119,15,0,0,25,0,0,0,54,1,1,17,0,9484,6
tv,1013,0,1,0,0,5,17,9,10,8,0,0,0,5,3,10,3,0,1,1,10247
