x,background,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
background,1520753,603,556,1024,665,756,459,2578,788,1954,594,363,1026,709,637,8815,1030,516,621,641,630
aeroplane,547,5439,1,22,6,0,2,6,0,1,0,1,0,0,0,0,0,0,0,6,0
bike,638,2,4551,0,0,0,0,4,0,7,6,0,1,0,24,146,0,0,0,0,0
bird,1001,3,0,8911,0,0,0,0,6,1,0,0,27,0,1,30,8,10,0,0,0
boat,701,6,0,0,5964,0,2,11,0,0,0,0,0,0,0,0,0,0,0,3,0
bottle,761,0,0,0,0,6684,0,1,0,2,0,0,0,0,5,15,1,0,0,0,0
bus,527,0,0,0,4,6,4337,46,0,0,3,0,0,0,0,18,0,0,0,27,0
car,2019,7,2,0,8,0,13,28558,0,0,1,0,0,3,15,65,0,0,14,5,3
cat,833,0,0,5,0,0,0,1,5779,17,7,0,120,0,0,29,0,2,9,0,2
chair,2391,0,4,0,1,2,0,1,46,14259,3,73,35,2,0,288,9,0,177,0,4
cow,613,0,0,13,0,2,13,0,1,5,5405,0,51,52,10,25,4,186,0,1,1
table,702,0,0,0,0,0,0,5,2,243,0,1842,0,0,2,20,2,0,3,0,0
dog,1039,0,0,20,0,0,0,0,156,13,47,0,8316,34,0,143,0,9,51,0,1
horse,652,1,0,10,0,0,0,2,1,0,44,0,33,6603,7,163,0,5,1,1,0
moto,677,0,38,6,7,2,0,15,0,0,2,0,2,2,5264,194,0,0,0,6,0
person,7400,1,122,32,2,13,0,18,15,136,20,11,79,117,177,70431,12,3,177,1,6
plant,1133,0,0,4,0,5,1,0,1,4,9,2,0,0,0,16,7006,1,3,0,0
shep,501,0,0,4,0,7,0,0,23,1,213,0,31,7,0,6,0,4742,0,2,0
sofa,926,0,0,0,0,0,0,0,28,90,2,4,73,0,0,359,0,0,4693,0,0
train,661,12,0,0,0,1,34,8,0,0,5,0,0,0,5,0,0,0,2,5035,2
tv,659,0,0,0,0,1,0,4,10,9,0,0,1,0,0,6,0,0,2,0,6129
