x,background,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
background,1532536,580,522,1000,686,690,422,2689,747,2166,574,384,986,644,550,8375,998,539,684,626,597
aeroplane,670,4907,1,64,15,0,10,41,0,0,2,0,0,1,2,4,0,0,3,27,0
bike,701,8,4192,0,5,2,0,4,0,18,0,0,1,1,32,157,3,0,0,0,0
bird,1390,46,1,7487,1,1,0,1,22,9,22,0,72,7,3,88,5,14,1,0,0
boat,1107,17,1,4,4602,0,1,27,0,8,0,0,0,4,0,25,2,1,2,8,7
bottle,863,0,0,1,1,6193,1,0,1,27,0,0,6,0,2,48,4,0,2,5,1
bus,559,1,0,0,0,0,3909,121,0,1,2,0,0,14,0,32,5,0,3,41,42
car,2551,15,3,1,26,23,105,26186,0,33,0,2,0,7,52,134,0,7,8,16,24
cat,849,1,0,33,0,0,0,0,5306,10,11,0,152,0,0,37,2,8,18,0,2
chair,3581,9,2,7,6,6,1,36,33,11829,1,111,51,2,0,451,21,0,221,11,24
cow,785,0,0,56,6,0,0,13,15,14,4871,0,107,56,4,42,0,138,0,0,0
table,801,2,2,1,0,0,0,3,5,236,0,1785,0,0,0,17,5,0,15,0,2
dog,1146,0,0,58,0,1,0,0,145,14,76,3,7482,67,9,179,0,28,56,0,0
horse,706,0,2,1,0,0,0,0,8,1,71,0,57,6150,5,222,11,1,1,1,0
moto,723,1,20,0,1,22,0,61,0,7,2,0,3,4,4897,261,0,0,0,13,0
person,7616,10,142,80,26,30,0,104,37,235,38,16,130,115,208,67064,63,33,218,1,20
plant,1472,0,0,10,0,7,1,1,1,14,19,2,0,1,12,77,6166,0,28,0,0
shep,532,1,0,18,1,2,0,1,38,1,173,0,47,5,0,38,0,4406,0,1,1
sofa,1270,0,0,9,0,0,0,5,32,132,6,21,64,1,0,483,2,0,3810,1,8
train,780,20,0,0,42,0,43,47,0,4,0,0,0,0,5,0,6,0,0,4401,0
tv,821,0,0,0,1,4,36,5,10,28,0,0,10,0,0,17,10,0,2,2,5429
