x,background,aeroplane,bike,bird,boat,bottle,bus,car,cat,chair,cow,table,dog,horse,moto,person,plant,shep,sofa,train,tv
background,1279102,459,482,792,529,594,352,2000,566,1457,440,322,814,577,450,6481,778,476,514,463,439
aeroplane,360,5171,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0
bike,410,1,4999,0,0,0,0,4,0,2,0,0,1,0,6,131,0,0,0,0,0
bird,582,0,0,9012,0,0,0,0,5,2,0,0,2,0,0,8,0,5,0,0,0
boat,448,7,0,0,5318,0,0,8,0,0,0,0,0,0,0,2,1,0,0,3,0
bottle,459,0,0,0,0,5931,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0
bus,336,0,0,0,1,0,4217,25,0,0,0,0,0,0,0,6,0,0,0,16,0
car,1305,0,0,0,3,0,21,24231,0,0,3,0,2,4,18,40,0,0,0,3,2
cat,516,0,0,3,0,0,0,0,6305,7,0,0,37,0,0,19,1,2,13,0,0
chair,1360,0,0,0,0,4,0,1,20,14300,0,87,24,0,0,165,2,2,43,0,2
cow,351,0,0,0,0,0,0,0,0,0,5225,0,1,11,0,3,0,44,0,0,0
table,429,0,0,0,0,0,0,0,1,132,0,2380,0,0,0,14,2,0,10,1,0
dog,630,0,0,6,0,0,0,0,39,7,7,0,9238,7,0,58,0,5,24,0,4
horse,442,0,0,4,0,0,0,3,5,0,6,0,13,6857,0,99,0,0,0,0,0
moto,391,0,4,0,0,1,0,29,0,0,6,0,1,0,5319,124,0,0,0,1,0
person,4654,0,132,16,1,7,0,21,14,105,7,9,48,62,118,66139,6,0,122,0,5
plant,638,0,0,0,1,0,0,0,0,6,0,1,0,0,0,11,7145,0,0,0,1
shep,343,0,0,1,0,0,0,4,6,0,38,0,11,0,0,6,0,5434,0,0,0
sofa,527,0,0,0,0,0,0,1,20,60,0,2,45,0,0,190,3,2,5484,0,2
train,357,1,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,5410,0
tv,346,0,0,0,1,0,1,0,6,0,0,2,0,0,0,5,0,0,2,0,5674
